Year,Position,Team,Played,Wins,Draws,Losses,For,Against,Percentage,Points,Premiers
2024,16,West Coast,23,5,,18,1594,2339,68.1,20,False
2024,17,North Melbourne,23,3,,20,1619,2550,63.5,12,False
2024,18,Richmond,23,2,,21,1505,2364,63.7,8,False
2025,1,Collingwood,19,15,,4,1742,1290,135.0,60,
2025,2,Adelaide,19,14,,5,1918,1314,146.0,56,
2025,3,Brisbane Lions,19,13,1,5,1689,1524,110.8,54,
2025,4,Geelong,19,13,,6,1949,1452,134.2,52,
2025,5,Hawthorn,19,13,,6,1677,1399,119.9,52,
2025,6,Greater Western Sydney,19,13,,6,1722,1454,118.4,52,
2025,7,Fremantle,19,13,,6,1636,1464,111.7,52,
2025,8,Gold Coast,18,12,,6,1677,1403,119.5,48,
2025,9,Western Bulldogs,19,11,,8,2033,1533,132.6,44,
2025,10,Sydney,19,9,,10,1499,1596,93.9,36,
2025,11,Port Adelaide,19,8,,11,1419,1706,83.2,32,
2025,12,Carlton,19,7,,12,1450,1554,93.3,28,
2025,13,Melbourne,19,6,,13,1532,1703,90.0,24,
2025,14,St Kilda,19,6,,13,1535,1777,86.4,24,
2025,15,Essendon,18,6,,12,1227,1712,71.7,24,
2025,16,Richmond,19,5,,14,1223,1796,68.1,20,
2025,17,North Melbourne,19,4,1,14,1422,1954,72.8,18,
2025,18,West Coast,19,1,,18,1249,1968,63.5,4,
